,r_spotId,title,area_code,Unnamed: 0,date,avgTemp,highTemp,lowTemp,rainProb,weather,datetime,month,weekday,season,Unnamed: 0.1,contentsid,predict
2786,310.0,제주공룡랜드,7,68,2023-12-16,8.0,8,8,90,4,2023-12-16 00:00:00,December,5,winter,,,30.803463
553,62.0,다랑쉬오름,6,58,2023-12-15,19.5,21,18,90,4,2023-12-15 00:00:00,December,4,winter,,,30.797413
999,112.0,백약이오름,4,36,2023-12-11,17.916666666666668,19,16,69,4,2023-12-11 00:00:00,December,0,winter,,,30.733677
660,74.0,도두봉,11,102,2023-12-14,16.25,18,13,30,4,2023-12-14 00:00:00,December,3,winter,,,30.69743
1375,153.0,새연교,5,52,2023-12-19,5.5,7,4,40,4,2023-12-19 00:00:00,December,1,winter,,,30.636063
4276,476.0,황우지해안,5,46,2023-12-12,15.208333333333334,17,13,30,4,2023-12-12 00:00:00,December,1,winter,,,30.623117
1015,113.0,법환포구,5,52,2023-12-19,5.5,7,4,40,4,2023-12-19 00:00:00,December,1,winter,,,30.617964
413,46.0,김녕미로공원,6,62,2023-12-20,5.0,8,2,40,4,2023-12-20 00:00:00,December,2,winter,,,30.515985
665,74.0,도두봉,11,107,2023-12-20,6.0,8,4,40,4,2023-12-20 00:00:00,December,2,winter,,,30.389769
3198,356.0,제주워터서커스,6,57,2023-12-14,16.833333333333332,19,13,30,4,2023-12-14 00:00:00,December,3,winter,,,30.35429
843,94.0,마라도가파도정기여객선,1,15,2023-12-17,5.0,6,4,90,4,2023-12-17 00:00:00,December,6,winter,,,30.32784
2787,310.0,제주공룡랜드,7,69,2023-12-17,5.0,6,4,90,4,2023-12-17 00:00:00,December,6,winter,,,30.321432
641,72.0,더마파크,10,92,2023-12-13,12.875,16,10,30,4,2023-12-13 00:00:00,December,2,winter,,,30.272022
1050,117.0,본태박물관,3,33,2023-12-17,5.0,6,4,90,4,2023-12-17 00:00:00,December,6,winter,,,30.240297
2831,315.0,제주돌문화공원,8,77,2023-12-16,8.0,8,8,90,4,2023-12-16 00:00:00,December,5,winter,,,30.178648
254,29.0,관음사,11,101,2023-12-13,13.333333333333334,16,11,30,4,2023-12-13 00:00:00,December,2,winter,,,30.134983
2360,263.0,외돌개,5,47,2023-12-13,15.0,17,13,30,4,2023-12-13 00:00:00,December,2,winter,,,30.023113
581,65.0,닭머르해안길,8,77,2023-12-16,8.0,8,8,90,4,2023-12-16 00:00:00,December,5,winter,,,30.016226
582,65.0,닭머르해안길,8,78,2023-12-17,5.0,6,4,90,4,2023-12-17 00:00:00,December,6,winter,,,30.014082
4257,474.0,화조원,7,63,2023-12-11,16.833333333333332,20,14,60,4,2023-12-11 00:00:00,December,0,winter,,,30.00748
1845,206.0,수월봉,9,81,2023-12-11,16.666666666666668,19,14,60,4,2023-12-11 00:00:00,December,0,winter,,,29.973654
1662,185.0,세계자동차&피아노박물관,3,33,2023-12-17,5.0,6,4,90,4,2023-12-17 00:00:00,December,6,winter,,,29.97351
3984,443.0,한라산국립공원,11,105,2023-12-17,5.0,6,4,90,4,2023-12-17 00:00:00,December,6,winter,,,29.960983
3887,432.0,피규어뮤지엄제주,3,35,2023-12-20,6.0,8,4,40,4,2023-12-20 00:00:00,December,2,winter,,,29.923819
1003,112.0,백약이오름,4,40,2023-12-15,19.5,21,18,90,4,2023-12-15 00:00:00,December,4,winter,,,29.920116
3886,432.0,피규어뮤지엄제주,3,34,2023-12-19,5.5,7,4,40,4,2023-12-19 00:00:00,December,1,winter,,,29.9099
1814,202.0,수목원길야시장,11,104,2023-12-16,8.0,8,8,90,4,2023-12-16 00:00:00,December,5,winter,,,29.877306
2112,235.0,안돌오름,6,60,2023-12-17,4.5,6,3,90,4,2023-12-17 00:00:00,December,6,winter,,,29.769602
1847,206.0,수월봉,9,83,2023-12-13,13.458333333333334,16,11,30,4,2023-12-13 00:00:00,December,2,winter,,,29.764858
664,74.0,도두봉,11,106,2023-12-19,5.5,7,4,40,4,2023-12-19 00:00:00,December,1,winter,,,29.757355
1007,112.0,백약이오름,4,44,2023-12-20,5.0,8,2,40,4,2023-12-20 00:00:00,December,2,winter,,,29.71504
4126,459.0,항몽유적지,7,67,2023-12-15,18.5,22,15,90,4,2023-12-15 00:00:00,December,4,winter,,,29.713356
4263,474.0,화조원,7,69,2023-12-17,5.0,6,4,90,4,2023-12-17 00:00:00,December,6,winter,,,29.623108
1518,169.0,선녀와나무꾼테마공원,8,78,2023-12-17,5.0,6,4,90,4,2023-12-17 00:00:00,December,6,winter,,,29.58882
4259,474.0,화조원,7,65,2023-12-13,13.041666666666666,16,11,30,4,2023-12-13 00:00:00,December,2,winter,,,29.582159
1000,112.0,백약이오름,4,37,2023-12-12,13.458333333333334,15,12,60,4,2023-12-12 00:00:00,December,1,winter,,,29.518795
255,29.0,관음사,11,102,2023-12-14,16.25,18,13,30,4,2023-12-14 00:00:00,December,3,winter,,,29.467943
658,74.0,도두봉,11,100,2023-12-12,12.791666666666666,14,12,60,4,2023-12-12 00:00:00,December,1,winter,,,29.431187
4260,474.0,화조원,7,66,2023-12-14,16.583333333333332,19,12,30,4,2023-12-14 00:00:00,December,3,winter,,,29.416634
2361,263.0,외돌개,5,48,2023-12-14,18.95833333333333,21,15,60,4,2023-12-14 00:00:00,December,3,winter,,,29.402435
2359,263.0,외돌개,5,46,2023-12-12,15.208333333333334,17,13,30,4,2023-12-12 00:00:00,December,1,winter,,,29.3907
2362,263.0,외돌개,5,49,2023-12-15,18.5,22,15,90,4,2023-12-15 00:00:00,December,4,winter,,,29.389362
4012,446.0,한라산등산로영실탐방로,5,52,2023-12-19,5.5,7,4,40,4,2023-12-19 00:00:00,December,1,winter,,,29.3797
4123,459.0,항몽유적지,7,64,2023-12-12,12.041666666666666,14,11,60,4,2023-12-12 00:00:00,December,1,winter,,,29.359
3803,423.0,퍼시픽랜드마린스테이지,5,50,2023-12-16,8.0,8,8,90,4,2023-12-16 00:00:00,December,5,winter,,,29.334526
675,76.0,도두항,11,99,2023-12-11,17.75,20,15,65,4,2023-12-11 00:00:00,December,0,winter,,,29.313095
1373,153.0,새연교,5,50,2023-12-16,8.0,8,8,90,4,2023-12-16 00:00:00,December,5,winter,,,29.311571
2834,315.0,제주돌문화공원,8,80,2023-12-20,6.0,8,4,40,4,2023-12-20 00:00:00,December,2,winter,,,29.25542
260,29.0,관음사,11,107,2023-12-20,6.0,8,4,40,4,2023-12-20 00:00:00,December,2,winter,,,29.171028
1014,113.0,법환포구,5,51,2023-12-17,5.0,6,4,90,4,2023-12-17 00:00:00,December,6,winter,,,29.16294
1846,206.0,수월봉,9,82,2023-12-12,12.583333333333334,14,11,30,4,2023-12-12 00:00:00,December,1,winter,,,29.132444
662,74.0,도두봉,11,104,2023-12-16,8.0,8,8,90,4,2023-12-16 00:00:00,December,5,winter,,,29.096954
1006,112.0,백약이오름,4,43,2023-12-19,4.5,7,2,40,4,2023-12-19 00:00:00,December,1,winter,,,29.082626
969,108.0,박물관은살아있다제주중문점,5,51,2023-12-17,5.0,6,4,90,4,2023-12-17 00:00:00,December,6,winter,,,29.071169
3195,356.0,제주워터서커스,6,54,2023-12-11,16.75,19,14,64,4,2023-12-11 00:00:00,December,0,winter,,,29.005798
155,18.0,건강과성박물관,3,29,2023-12-13,14.041666666666666,17,11,30,4,2023-12-13 00:00:00,December,2,winter,,,28.987862
257,29.0,관음사,11,104,2023-12-16,8.0,8,8,90,4,2023-12-16 00:00:00,December,5,winter,,,28.957052
661,74.0,도두봉,11,103,2023-12-15,18.5,22,15,90,4,2023-12-15 00:00:00,December,4,winter,,,28.821589
1853,206.0,수월봉,9,89,2023-12-20,6.5,8,5,40,4,2023-12-20 00:00:00,December,2,winter,,,28.8009
1434,160.0,서귀포치유의숲,5,48,2023-12-14,18.95833333333333,21,15,60,4,2023-12-14 00:00:00,December,3,winter,,,28.730963
580,65.0,닭머르해안길,8,76,2023-12-15,18.5,22,15,90,4,2023-12-15 00:00:00,December,4,winter,,,28.70869
156,18.0,건강과성박물관,3,30,2023-12-14,17.791666666666668,19,14,30,4,2023-12-14 00:00:00,December,3,winter,,,28.6822
1407,157.0,서귀포자연휴양림,5,48,2023-12-14,18.95833333333333,21,15,60,4,2023-12-14 00:00:00,December,3,winter,,,28.680183
2499,278.0,운진항,1,15,2023-12-17,5.0,6,4,90,4,2023-12-17 00:00:00,December,6,winter,,,28.645483
2833,315.0,제주돌문화공원,8,79,2023-12-19,5.5,7,4,40,4,2023-12-19 00:00:00,December,1,winter,,,28.62301
259,29.0,관음사,11,106,2023-12-19,5.5,7,4,40,4,2023-12-19 00:00:00,December,1,winter,,,28.538614
2828,315.0,제주돌문화공원,8,74,2023-12-13,13.25,15,11,30,4,2023-12-13 00:00:00,December,2,winter,,,28.527836
412,46.0,김녕미로공원,6,61,2023-12-19,4.5,7,2,40,4,2023-12-19 00:00:00,December,1,winter,,,28.48206
1850,206.0,수월봉,9,86,2023-12-16,7.5,8,7,90,4,2023-12-16 00:00:00,December,5,winter,,,28.445616
4011,446.0,한라산등산로영실탐방로,5,51,2023-12-17,5.0,6,4,90,4,2023-12-17 00:00:00,December,6,winter,,,28.445187
830,93.0,마라도가는여객선,1,11,2023-12-13,13.5,16,10,30,4,2023-12-13 00:00:00,December,2,winter,,,28.427513
2229,248.0,엉또폭포,5,51,2023-12-17,5.0,6,4,90,4,2023-12-17 00:00:00,December,6,winter,,,28.426418
1067,119.0,붉은오름자연휴양림,4,41,2023-12-16,7.5,8,7,90,4,2023-12-16 00:00:00,December,5,winter,,,28.413736
3806,423.0,퍼시픽랜드마린스테이지,5,53,2023-12-20,6.0,8,4,40,4,2023-12-20 00:00:00,December,2,winter,,,28.411299
828,93.0,마라도가는여객선,1,9,2023-12-11,16.833333333333332,19,14,60,4,2023-12-11 00:00:00,December,0,winter,,,28.370853
2868,319.0,제주레일바이크,6,60,2023-12-17,4.5,6,3,90,4,2023-12-17 00:00:00,December,6,winter,,,28.323664
1431,160.0,서귀포치유의숲,5,45,2023-12-11,18.416666666666668,20,16,89,4,2023-12-11 00:00:00,December,0,winter,,,28.299503
2157,240.0,액티브파크,10,96,2023-12-17,5.0,6,4,90,4,2023-12-17 00:00:00,December,6,winter,,,28.245556
1851,206.0,수월봉,9,87,2023-12-17,5.0,6,4,90,4,2023-12-17 00:00:00,December,6,winter,,,28.194126
3799,423.0,퍼시픽랜드마린스테이지,5,46,2023-12-12,15.208333333333334,17,13,30,4,2023-12-12 00:00:00,December,1,winter,,,28.18308
1852,206.0,수월봉,9,88,2023-12-19,6.0,7,5,40,4,2023-12-19 00:00:00,December,1,winter,,,28.168486
676,76.0,도두항,11,100,2023-12-12,12.791666666666666,14,12,60,4,2023-12-12 00:00:00,December,1,winter,,,28.154861
3800,423.0,퍼시픽랜드마린스테이지,5,47,2023-12-13,15.0,17,13,30,4,2023-12-13 00:00:00,December,2,winter,,,28.116995
4077,454.0,한림항,10,90,2023-12-11,16.583333333333332,19,14,60,4,2023-12-11 00:00:00,December,0,winter,,,28.109451
3203,356.0,제주워터서커스,6,62,2023-12-20,5.0,8,2,40,4,2023-12-20 00:00:00,December,2,winter,,,28.072073
3959,440.0,한담해변,7,71,2023-12-20,6.0,8,4,40,4,2023-12-20 00:00:00,December,2,winter,,,28.065872
1374,153.0,새연교,5,51,2023-12-17,5.0,6,4,90,4,2023-12-17 00:00:00,December,6,winter,,,28.061436
161,18.0,건강과성박물관,3,35,2023-12-20,6.0,8,4,40,4,2023-12-20 00:00:00,December,2,winter,,,28.0239
1848,206.0,수월봉,9,84,2023-12-14,17.416666666666668,19,13,60,4,2023-12-14 00:00:00,December,3,winter,,,27.96306
158,18.0,건강과성박물관,3,32,2023-12-16,8.0,8,8,90,4,2023-12-16 00:00:00,December,5,winter,,,27.96289
614,69.0,대정5일시장,1,11,2023-12-13,13.5,16,10,30,4,2023-12-13 00:00:00,December,2,winter,,,27.929167
2829,315.0,제주돌문화공원,8,75,2023-12-14,16.125,18,13,30,4,2023-12-14 00:00:00,December,3,winter,,,27.860796
4079,454.0,한림항,10,92,2023-12-13,12.875,16,10,30,4,2023-12-13 00:00:00,December,2,winter,,,27.824259
3805,423.0,퍼시픽랜드마린스테이지,5,52,2023-12-19,5.5,7,4,40,4,2023-12-19 00:00:00,December,1,winter,,,27.778885
252,29.0,관음사,11,99,2023-12-11,17.75,20,15,65,4,2023-12-11 00:00:00,December,0,winter,,,27.75593
2783,310.0,제주공룡랜드,7,65,2023-12-13,13.041666666666666,16,11,30,4,2023-12-13 00:00:00,December,2,winter,,,27.745148
2832,315.0,제주돌문화공원,8,78,2023-12-17,5.0,6,4,90,4,2023-12-17 00:00:00,December,6,winter,,,27.688494
153,18.0,건강과성박물관,3,27,2023-12-11,17.166666666666668,19,14,63,4,2023-12-11 00:00:00,December,0,winter,,,27.675058
2358,263.0,외돌개,5,45,2023-12-11,18.416666666666668,20,16,89,4,2023-12-11 00:00:00,December,0,winter,,,27.617676
3802,423.0,퍼시픽랜드마린스테이지,5,49,2023-12-15,18.5,22,15,90,4,2023-12-15 00:00:00,December,4,winter,,,27.588606
3801,423.0,퍼시픽랜드마린스테이지,5,48,2023-12-14,18.95833333333333,21,15,60,4,2023-12-14 00:00:00,December,3,winter,,,27.540876
4261,474.0,화조원,7,67,2023-12-15,18.5,22,15,90,4,2023-12-15 00:00:00,December,4,winter,,,27.532011
4080,454.0,한림항,10,93,2023-12-14,16.833333333333332,19,12,30,4,2023-12-14 00:00:00,December,3,winter,,,27.518597
3474,387.0,중문향토오일시장,5,45,2023-12-11,18.416666666666668,20,16,89,4,2023-12-11 00:00:00,December,0,winter,,,27.498299
1849,206.0,수월봉,9,85,2023-12-15,18.0,19,17,90,4,2023-12-15 00:00:00,December,4,winter,,,27.498184
833,93.0,마라도가는여객선,1,14,2023-12-16,8.0,8,8,90,4,2023-12-16 00:00:00,December,5,winter,,,27.467943
3202,356.0,제주워터서커스,6,61,2023-12-19,4.5,7,2,40,4,2023-12-19 00:00:00,December,1,winter,,,27.43966
154,18.0,건강과성박물관,3,28,2023-12-12,12.958333333333334,14,12,60,4,2023-12-12 00:00:00,December,1,winter,,,27.407175
4283,476.0,황우지해안,5,53,2023-12-20,6.0,8,4,40,4,2023-12-20 00:00:00,December,2,winter,,,27.403692
3935,438.0,하우목동항,2,20,2023-12-13,14.5,16,12,30,4,2023-12-13 00:00:00,December,2,winter,,,27.392286
160,18.0,건강과성박물관,3,34,2023-12-19,5.5,7,4,40,4,2023-12-19 00:00:00,December,1,winter,,,27.391489
1435,160.0,서귀포치유의숲,5,49,2023-12-15,18.5,22,15,90,4,2023-12-15 00:00:00,December,4,winter,,,27.373566
1408,157.0,서귀포자연휴양림,5,49,2023-12-15,18.5,22,15,90,4,2023-12-15 00:00:00,December,4,winter,,,27.322783
3197,356.0,제주워터서커스,6,56,2023-12-13,13.583333333333334,15,11,30,4,2023-12-13 00:00:00,December,2,winter,,,27.304497
253,29.0,관음사,11,100,2023-12-12,12.791666666666666,14,12,60,4,2023-12-12 00:00:00,December,1,winter,,,27.28398
4221,470.0,화순금모래해변,3,27,2023-12-11,17.166666666666668,19,14,63,4,2023-12-11 00:00:00,December,0,winter,,,27.16315
3798,423.0,퍼시픽랜드마린스테이지,5,45,2023-12-11,18.416666666666668,20,16,89,4,2023-12-11 00:00:00,December,0,winter,,,27.161247
3936,438.0,하우목동항,2,21,2023-12-14,17.875,20,14,30,4,2023-12-14 00:00:00,December,3,winter,,,27.086624
411,46.0,김녕미로공원,6,60,2023-12-17,4.5,6,3,90,4,2023-12-17 00:00:00,December,6,winter,,,27.084442
4223,470.0,화순금모래해변,3,29,2023-12-13,14.041666666666666,17,11,30,4,2023-12-13 00:00:00,December,2,winter,,,27.062136
3958,440.0,한담해변,7,70,2023-12-19,5.5,7,4,40,4,2023-12-19 00:00:00,December,1,winter,,,27.043137
3881,432.0,피규어뮤지엄제주,3,29,2023-12-13,14.041666666666666,17,11,30,4,2023-12-13 00:00:00,December,2,winter,,,26.956022
2827,315.0,제주돌문화공원,8,73,2023-12-12,12.416666666666666,14,12,60,4,2023-12-12 00:00:00,December,1,winter,,,26.947145
1438,160.0,서귀포치유의숲,5,52,2023-12-19,5.5,7,4,40,4,2023-12-19 00:00:00,December,1,winter,,,26.934256
3804,423.0,퍼시픽랜드마린스테이지,5,51,2023-12-17,5.0,6,4,90,4,2023-12-17 00:00:00,December,6,winter,,,26.844376
679,76.0,도두항,11,103,2023-12-15,18.5,22,15,90,4,2023-12-15 00:00:00,December,4,winter,,,26.837622
1376,153.0,새연교,5,53,2023-12-20,6.0,8,4,40,4,2023-12-20 00:00:00,December,2,winter,,,26.818167
