title,area_code,r_spotId,date,avgTemp,highTemp,lowTemp,rainProb,weather,predict
탐라승마장,8,413.0,2023-11-15,12.384615384615383,14,10,30,4,13.059959
성산세화해안도로,6,175.0,2023-11-24,10.5,13,8,40,4,13.054358
초콜릿랜드,5,405.0,2023-11-19,14.5,18,11,10,1,13.02425
혼인지,2,466.0,2023-11-23,14.0,17,11,40,4,12.999535
감따남,5,10.0,2023-11-17,11.958333333333334,15,10,60,4,12.990775
제주승마공원,7,333.0,2023-11-24,11.5,13,10,40,4,12.989359
원앙폭포,5,279.0,2023-11-17,11.958333333333334,15,10,60,4,12.978983
그대나의뮤즈 클림트to마티스,3,39.0,2023-11-18,10.791666666666666,13,8,60,4,12.9513035
강정마을해안도로,5,11.0,2023-11-24,11.5,13,10,40,4,12.947163
J1카트클럽,11,5.0,2023-11-21,14.5,19,10,0,1,12.946895
이호랜드방파제등대,11,295.0,2023-11-15,13.307692307692308,16,11,30,4,12.946476
선녀탕,5,170.0,2023-11-23,14.5,17,12,40,4,12.931148
제주세계자연유산센터,8,331.0,2023-11-24,11.5,13,10,40,4,12.928302
비양도선착장,10,123.0,2023-11-24,11.5,13,10,40,4,12.9226885
종달리해변,6,379.0,2023-11-21,13.5,18,9,0,1,12.919244
월평포구,5,285.0,2023-11-21,14.5,19,10,0,1,12.917104
김영갑갤러리두모악,2,51.0,2023-11-17,10.583333333333334,13,8,60,4,12.913003
제주유리의성,9,357.0,2023-11-17,11.458333333333334,13,9,60,4,12.913003
일출랜드,2,299.0,2023-11-17,10.583333333333334,13,8,60,4,12.913003
제주4.3평화공원,11,308.0,2023-11-17,10.833333333333334,13,8,60,4,12.913003
김녕요트투어,6,48.0,2023-11-17,9.708333333333334,12,7,60,4,12.913003
저지오름,9,302.0,2023-11-17,11.458333333333334,13,9,60,4,12.913003
제주도립미술관,11,314.0,2023-11-17,10.833333333333334,13,8,60,4,12.913003
제주양떼목장,7,338.0,2023-11-17,10.083333333333334,12,8,60,4,12.913003
노리매,1,56.0,2023-11-17,10.583333333333334,13,9,60,4,12.913003
낙타트래킹,4,52.0,2023-11-17,10.208333333333334,13,8,60,4,12.913003
그리스신화박물관,10,40.0,2023-11-17,10.916666666666666,12,9,60,4,12.913003
제주러브랜드,11,318.0,2023-11-17,10.833333333333334,13,8,60,4,12.913003
제주민속오일장입구,11,323.0,2023-11-17,10.833333333333334,13,8,60,4,12.913003
제주올레7코스,5,353.0,2023-11-17,11.958333333333334,15,10,60,4,12.913003
큰노꼬메오름,7,411.0,2023-11-17,10.083333333333334,12,8,60,4,12.913003
토토아뜰리에,7,420.0,2023-11-17,10.083333333333334,12,8,60,4,12.913003
차귀도,9,393.0,2023-11-17,11.458333333333334,13,9,60,4,12.913003
용수리포구,9,271.0,2023-11-17,11.458333333333334,13,9,60,4,12.913003
하모해수욕장,1,437.0,2023-11-17,10.583333333333334,13,9,60,4,12.913003
하고수동해수욕장,2,433.0,2023-11-17,10.583333333333334,13,8,60,4,12.913003
수산봉,7,204.0,2023-11-17,10.083333333333334,12,8,60,4,12.913003
대유랜드,5,68.0,2023-11-17,11.958333333333334,15,10,60,4,12.913003
포도뮤지엄,3,426.0,2023-11-17,10.75,13,9,60,4,12.913003
대평포구,3,70.0,2023-11-17,10.75,13,9,60,4,12.913003
수월봉전기자전거,9,207.0,2023-11-17,11.458333333333334,13,9,60,4,12.913003
렛츠런파크제주,8,92.0,2023-11-17,10.666666666666666,13,8,60,4,12.913003
종달리해안도로,6,380.0,2023-11-17,9.708333333333334,12,7,60,4,12.913003
"숨,도",5,210.0,2023-11-17,11.958333333333334,15,10,60,4,12.913003
퍼시픽리솜,5,424.0,2023-11-17,11.958333333333334,15,10,60,4,12.913003
레포츠공원,11,91.0,2023-11-17,10.833333333333334,13,8,60,4,12.913003
이승악오름,11,292.0,2023-11-17,10.833333333333334,13,8,60,4,12.913003
탑동광장,11,414.0,2023-11-17,10.833333333333334,13,8,60,4,12.913003
싱계물공원,9,224.0,2023-11-17,11.458333333333334,13,9,60,4,12.913003
동백동산,8,84.0,2023-11-17,10.666666666666666,13,8,60,4,12.913003
캐니언파크제주,11,409.0,2023-11-17,10.833333333333334,13,8,60,4,12.913003
초콜릿박물관,1,406.0,2023-11-17,10.583333333333334,13,9,60,4,12.913003
청굴물,6,402.0,2023-11-17,9.708333333333334,12,7,60,4,12.913003
알작지,11,237.0,2023-11-17,10.833333333333334,13,8,60,4,12.913003
지미봉,6,389.0,2023-11-17,9.708333333333334,12,7,60,4,12.913003
돈내코유원지,5,79.0,2023-11-17,11.958333333333334,15,10,60,4,12.913003
액트몬제주중문점,5,239.0,2023-11-17,11.958333333333334,15,10,60,4,12.913003
진지동굴,3,391.0,2023-11-17,10.75,13,9,60,4,12.913003
어승생악,11,243.0,2023-11-17,10.833333333333334,13,8,60,4,12.913003
어영소공원,11,244.0,2023-11-17,10.833333333333334,13,8,60,4,12.913003
천왕사,11,398.0,2023-11-17,10.833333333333334,13,8,60,4,12.913003
창꼼,8,397.0,2023-11-17,10.666666666666666,13,8,60,4,12.913003
용연계곡,11,272.0,2023-11-17,10.833333333333334,13,8,60,4,12.913003
문도지오름,10,103.0,2023-11-17,10.916666666666666,12,9,60,4,12.913003
세리월드,5,186.0,2023-11-17,11.958333333333334,15,10,60,4,12.913003
조천함덕해안도로,8,375.0,2023-11-17,10.666666666666666,13,8,60,4,12.913003
사진놀이터,7,132.0,2023-11-17,10.083333333333334,12,8,60,4,12.913003
유채꽃프라자,4,291.0,2023-11-17,10.208333333333334,13,8,60,4,12.913003
힐링카약파크비체올린,9,481.0,2023-11-17,11.458333333333334,13,9,60,4,12.913003
유민미술관,2,290.0,2023-11-17,10.583333333333334,13,8,60,4,12.913003
5.16도로숲터널,0,3.0,2023-11-17,10.166666666666666,14,8,60,4,12.913003
휴애리수국축제,0,479.0,2023-11-17,10.166666666666666,14,8,60,4,12.913003
사라봉공원,11,130.0,2023-11-17,10.833333333333334,13,8,60,4,12.913003
삼다수숲길,8,142.0,2023-11-17,10.666666666666666,13,8,60,4,12.913003
화순항,3,472.0,2023-11-17,10.75,13,9,60,4,12.913003
위미동백나무군락,0,286.0,2023-11-17,10.166666666666666,14,8,60,4,12.913003
사계항,3,128.0,2023-11-17,10.75,13,9,60,4,12.913003
가파도,1,8.0,2023-11-17,10.583333333333334,13,9,60,4,12.913003
